Code,Company_Name,Sector
NICE,Adhi Kartiko Pratama Tbk.,Basic Materials
NICK,Charnic Capital Tbk.,Financials
NICL,PAM Mineral Tbk.,Basic Materials
NIKL,Pelat Timah Nusantara Tbk.,Basic Materials
NINE,Techno9 Indonesia Tbk.,Technology
NIPS,Nipress Tbk.,Consumer Cyclicals
NIRO,City Retail Developments Tbk.,Properties & Real Estate
NISP,Bank OCBC NISP Tbk.,Financials
NOBU,Bank Nationalnobu Tbk.,Financials
NPGF,Nusa Palapa Gemilang Tbk.,Basic Materials
NRCA,Nusa Raya Cia Tbk.,Infrastructure
NSSS,Nusantara Sawit Sejahtera Tbk.,Consumer Non-Cyclicals
NTBK,Nusatama Berkah Tbk.,Industrials
NUSA,Sinergi Megah Internusa Tbk.,Consumer Cyclicals
NZIA,Nusantara Almazia Tbk.,Properties & Real Estate
OASA,Maharaksa Biru Energi Tbk.,Infrastructure
OBMD,OBM Drilchem Tbk.,Basic Materials
OCAP,Onix Capital Tbk.,Financials
OILS,Indo Oil Perkasa Tbk.,Consumer Non-Cyclicals
OKAS,Ancora Indonesia Resources Tbk,Basic Materials
OLIV,Oscar Mitra Sukses Sejahtera T,Consumer Cyclicals
OMED,Jayamas Medica Industri Tbk.,Healthcare
OMRE,Indonesia Prima Property Tbk,Properties & Real Estate
OPMS,Oima Prima Metal Sinergi Tbk,Basic Materials
PACK,Solusi Kemasan Digital Tbk.,Basic Materials
PADA,Personel Alih Daya Tbk.,Industrials
PADI,Minna Padi Investama Sekuritas,Financials
PALM,Provident Investasi Bersama Tb,Financials
PAMG,Bima Sakti Pertiwi Tbk.,Properties & Real Estate
PANI,Pantai Indah Kapuk Dua Tbk.,Properties & Real Estate
PANR,Panorama Sentrawisata Tbk.,Consumer Cyclicals
PANS,Panin Sekuritas Tbk.,Financials
PART,Cipta Perdana Lancar Tbk.,Consumer Cyclicals
PBID,Panca Budi Idaman Tbk.,Basic Materials
PBRX,Pan Brothers Tbk.,Consumer Cyclicals
PBSA,Paramita Bangun Sarana Tbk.,Infrastructure
PCAR,Prima Cakrawala Abadi Tbk.,Consumer Non-Cyclicals
PDES,Destinasi Tirta Nusantara Tbk,Consumer Cyclicals
PDPP,Primadaya Plastisindo Tbk.,Basic Materials
PEGE,Panca Global Kapital Tbk.,Financials
PEHA,Phapros Tbk.,Healthcare
PEVE,Penta Valent Tbk.,Healthcare
PGAS,Perusahaan Gas Negara Tbk.,Energy
PGEO,Pertamina Geothermal Energy Tb,Infrastructure
PGJO,Tourindo Guide Indonesia Tbk.,Technology
PGLI,Pembangunan Graha Lestari Inda,Consumer Cyclicals
PGUN,Pradiksi Gunatama Tbk.,Consumer Non-Cyclicals
PICO,Pelangi Indah Canindo Tbk,Basic Materials
PIPA,Multi Makmur Lemindo Tbk.,Industrials
PJAA,Pembangunan Jaya Ancol Tbk.,Consumer Cyclicals
PKPK,Perdana Karya Perkasa Tbk,Energy
PLAN,Planet Properindo Jaya Tbk.,Consumer Cyclicals
PLAS,Polaris Investama Tbk,Financials
PLIN,Plaza Indonesia Realty Tbk.,Properties & Real Estate
PMJS,Putra Mandiri Jembar Tbk.,Consumer Cyclicals
PMMP,Panca Mitra Multiperdana Tbk.,Consumer Non-Cyclicals
PNBN,Bank Pan Indonesia Tbk,Financials
PNBS,Bank Panin Dubai Syariah Tbk.,Financials
PNGO,Pinago Utama Tbk.,Consumer Non-Cyclicals
PNIN,Paninvest Tbk.,Financials
PNLF,Panin Financial Tbk.,Financials
PNSE,Pudjiadi & Sons Tbk.,Consumer Cyclicals
POLA,Pool Advista Finance Tbk.,Financials
POLI,Pollux Hotels Group Tbk.,Properties & Real Estate
POLL,Pollux Properties Indonesia Tb,Properties & Real Estate
POLU,Golden Flower Tbk.,Consumer Cyclicals
POLY,Asia Pacific Fibers Tbk,Consumer Cyclicals
POOL,Pool Advista Indonesia Tbk.,Financials
PORT,Nusantara Pelabuhan Handal Tbk,Infrastructure
POSA,Bliss Properti Indonesia Tbk.,Properties & Real Estate
POWR,Cikarang Listrindo Tbk.,Infrastructure
PTPP,PP (Persero) Tbk.,Infrastructure
PPGL,Prima Globalindo Logistik Tbk.,Transportation & Logistics
PPRE,PP Presisi Tbk.,Infrastructure
PPRI,Paperocks Indonesia Tbk.,Basic Materials
PPRO,PP Properti Tbk.,Properties & Real Estate
PRAS,Prima Alloy Steel Universal Tb,Consumer Cyclicals
PRAY,Famon Awal Bros Sedaya Tbk.,Healthcare
PRDA,Prodia Widyahusada Tbk.,Healthcare
PRIM,Royal Prima Tbk.,Healthcare
PTPS,Pulau Subur Tbk.,Consumer Non-Cyclicals
PSAB,J Resources Asia Pasifik Tbk.,Basic Materials
PSDN,Prasidha Aneka Niaga Tbk,Consumer Non-Cyclicals
PSGO,Palma Serasih Tbk.,Consumer Non-Cyclicals
PSKT,Red Planet Indonesia Tbk.,Consumer Cyclicals
PSSI,IMC Pelita Logistik Tbk.,Energy
PUDP,Pudjiadi Prestige Tbk.,Properties & Real Estate
PURA,Putra Rajawali Kencana Tbk.,Transportation & Logistics
PURE,Trinitan Metals and Minerals T,Basic Materials
PURI,Puri Global Sukses Tbk.,Properties & Real Estate
PTPW,Pratama Widya Tbk.,Infrastructure
PWON,Pakuwon Jati Tbk.,Properties & Real Estate
PYFA,Pyridam Farma Tbk,Healthcare
PZZA,Sarimelati Kencana Tbk.,Consumer Cyclicals
RAAM,Tripar Multivision Plus Tbk.,Consumer Cyclicals
RAFI,Sari Kreasi Boga Tbk.,Consumer Cyclicals
RAJA,Rukun Raharja Tbk.,Energy
RALS,Ramayana Lestari Sentosa Tbk.,Consumer Cyclicals
RANC,Supra Boga Lestari Tbk.,Consumer Non-Cyclicals
RBMS,Ristia Bintang Mahkotasejati T,Properties & Real Estate
RCCC,Utama Radar Cahaya Tbk.,Transportation & Logistics
RDTX,Roda Vivatex Tbk,Properties & Real Estate
REAL,Repower Asia Indonesia Tbk.,Properties & Real Estate
RELF,Graha Mitra Asia Tbk.,Properties & Real Estate
RELI,Reliance Sekuritas Indonesia T,Financials
RGAS,Kian Santang Muliatama Tbk.,Energy
RICY,Ricky Putra Globalindo Tbk,Consumer Cyclicals
RIGS,Rig Tenders Indonesia Tbk.,Energy
RIMO,Rimo International Lestari Tbk,Properties & Real Estate
RISE,Jaya Sukses Makmur Sentosa Tbk,Properties & Real Estate
RMKE,RMK Energy Tbk.,Energy
RMKO,Royaltama Mulia Kontraktorindo,Energy
PTRO,Petrosea Tbk.,Energy
ROCK,Rockfields Properti Indonesia,Properties & Real Estate
RODA,Pikko Land Development Tbk.,Properties & Real Estate
RONY,Aesler Grup Internasional Tbk.,Infrastructure
ROTI,Nippon Indosari Corpindo Tbk.,Consumer Non-Cyclicals
RSCH,Charlie Hospital Semarang Tbk.,Healthcare
RSGK,Kedoya Adyaraya Tbk.,Healthcare
RUIS,Radiant Utama Interinsco Tbk.,Energy
RUNS,Global Sukses Solusi Tbk.,Technology
SAFE,Steady Safe Tbk,Transportation & Logistics
SAGE,Saausaha Gemilangindah Tbk.,Properties & Real Estate
SAME,Sarana Meditama Metropolitan T,Healthcare
SAMF,Saraswanti Anugerah Makmur Tbk,Basic Materials
SAPX,Satria Antaran Prima Tbk.,Transportation & Logistics
SATU,Kota Satu Properti Tbk.,Properties & Real Estate
SBAT,Sejahtera Bintang Abadi Textil,Consumer Cyclicals
SBMA,Surya Biru Murni Acetylene Tbk,Basic Materials
SCCO,Supreme Cable Manufacturing &,Industrials
SCMA,Surya Citra Media Tbk.,Consumer Cyclicals
SCNP,Selaras Citra Nusantara Perkas,Consumer Cyclicals
SCPI,Organon Pharma Indonesia Tbk.,Healthcare
SDMU,Sidomulyo Selaras Tbk.,Transportation & Logistics
SDPC,Millennium Pharmacon Internati,Consumer Non-Cyclicals
SDRA,Bank Woori Saudara Indonesia 1,Financials
SEMA,Semacom Integrated Tbk.,Energy
SFAN,Surya Fajar Capital Tbk.,Financials
SGER,Sumber Global Energy Tbk.,Energy
SGRO,Sampoerna Agro Tbk.,Consumer Non-Cyclicals
SHID,Hotel Sahid Jaya International,Consumer Cyclicals
SHIP,Sillo Maritime Perdana Tbk.,Energy
SICO,Sigma Energy Compressindo Tbk.,Energy
SIDO,Industri Jamu dan Farmasi Sido,Healthcare
SILO,Siloam International Hospitals,Healthcare
SIMA,Siwani Makmur Tbk,Basic Materials
SIMP,Salim Ivomas Pratama Tbk.,Consumer Non-Cyclicals
SINI,Singaraja Putra Tbk.,Industrials
SIPD,Sreeya Sewu Indonesia Tbk.,Consumer Non-Cyclicals
SKBM,Sekar Bumi Tbk.,Consumer Non-Cyclicals
SKLT,Sekar Laut Tbk.,Consumer Non-Cyclicals
SKRN,Superkrane Mitra Utama Tbk.,Industrials
SKYB,Northcliff Citranusa Indonesia,Technology
SLIS,Gaya Abadi Sempurna Tbk.,Consumer Cyclicals
SMAR,Smart Tbk.,Consumer Non-Cyclicals
SMBR,Semen Baturaja Tbk.,Basic Materials
SMCB,Solusi Bangun Indonesia Tbk.,Basic Materials
SMDM,Suryamas Dutamakmur Tbk.,Properties & Real Estate
SMDR,Samudera Indonesia  Tbk.,Transportation & Logistics
SMGA,Sumber Mineral Global Abadi Tb,Basic Materials
SMGR,Semen Indonesia (Persero) Tbk.,Basic Materials
SMIL,Sarana Mitra Luas Tbk.,Industrials
SMKL,Satyamitra Kemas Lestari Tbk.,Basic Materials
SMKM,Sumber Mas Konstruksi Tbk.,Infrastructure
SMLE,Sinergi Multi Lestarindo Tbk.,Basic Materials
SMMA,Sinarmas Multiartha Tbk.,Financials
SMMT,Golden Eagle Energy Tbk.,Energy
SMRA,Summarecon Agung Tbk.,Properties & Real Estate
SMRU,SMR Utama Tbk.,Energy
SMSM,Selamat Sempurna Tbk.,Consumer Cyclicals
PTSN,Sat Nusapersada Tbk,Technology
SNLK,Sunter Lakeside Hotel Tbk.,Consumer Cyclicals
SPTO,Surya Pertiwi Tbk.,Industrials
SOCI,Soechi Lines Tbk.,Energy
SOFA,Boston Furniture Industries Tb,Consumer Cyclicals
SOHO,Soho Global Health Tbk.,Healthcare
SOLA,Xolare RCR Energy Tbk.,Basic Materials
SONA,Sona Topas Tourism Industry Tb,Consumer Cyclicals
SOSS,Shield On Service Tbk.,Industrials
SOTS,Satria Mega Kencana Tbk.,Consumer Cyclicals
SOUL,Mitra Tirta Buwana Tbk.,Consumer Non-Cyclicals
PTSP,Pioneerindo Gourmet Internatio,Consumer Cyclicals
SPMA,Suparma Tbk.,Basic Materials
SPRE,Soraya Berjaya Indonesia Tbk.,Consumer Cyclicals
SQMI,Wilton Makmur Indonesia Tbk.,Basic Materials
SRAJ,Sejahteraraya Anugrahjaya Tbk.,Healthcare
SRIL,Sri Rejeki Isman Tbk.,Consumer Cyclicals
SRSN,Indo Acidatama Tbk,Basic Materials
SRTG,Saratoga Investama Sedaya Tbk.,Financials
SSIA,Surya Semesta Internusa Tbk.,Infrastructure
SSMS,Sawit Sumbermas Sarana Tbk.,Consumer Non-Cyclicals
SSTM,Sunson Textile Manufacture Tbk,Consumer Cyclicals
STAA,Sumber Tani Agung Resources Tb,Consumer Non-Cyclicals
STAR,Buana Artha Anugerah Tbk.,Financials
STRK,Lovina Beach Brewery Tbk.,Consumer Non-Cyclicals
STTP,Siantar Top Tbk.,Consumer Non-Cyclicals
SUGI,Sugih Energy Tbk.,Energy
SULI,SLJ Global Tbk.,Basic Materials
SUNI,Sunindo Pratama Tbk.,Energy
SUPR,Solusi Tunas Pratama Tbk.,Infrastructure
SURE,Super Energy Tbk.,Energy
SURI,Maja Agung Latexindo Tbk.,Healthcare
SWAT,Sriwahana Adityakarta Tbk.,Basic Materials
SWID,Saraswanti Indoland Developmen,Consumer Cyclicals
TALF,Tunas Alfin Tbk.,Basic Materials
TAMA,Lancartama Sejati Tbk.,Infrastructure
TAMU,Pelayaran Tamarin Samudra Tbk.,Energy
TAPG,Triputra Agro Persada Tbk.,Consumer Non-Cyclicals
TARA,Agung Semesta Sejahtera Tbk.,Properties & Real Estate
TAXI,Express Transindo Utama Tbk.,Transportation & Logistics
TAYS,Jaya Swarasa Agung Tbk.,Consumer Non-Cyclicals
TBIG,Tower Bersama Infrastructure T,Infrastructure
TBLA,Tunas Baru Lampung Tbk.,Consumer Non-Cyclicals
TBMS,Tembaga Mulia Semanan Tbk.,Basic Materials
TCID,Mandom Indonesia Tbk.,Consumer Non-Cyclicals
TCPI,Transcoal Pacific Tbk.,Energy
TDPM,Tianrong Chemicals Industry Tb,Basic Materials
TEBE,Dana Brata Luhur Tbk.,Energy
TECH,Indosterling Technomedia Tbk.,Technology
TELE,Omni Inovasi Indonesia Tbk.,Consumer Cyclicals
TFAS,Telefast Indonesia Tbk.,Technology
TFCO,Tifico Fiber Indonesia Tbk.,Consumer Cyclicals
TGKA,Tigaraksa Satria Tbk.,Consumer Non-Cyclicals
TGRA,Terregra Asia Energy Tbk.,Infrastructure
TGUK,Platinum Wahab Nusantara Tbk.,Consumer Non-Cyclicals
TIFA,KDB Tifa Finance Tbk.,Financials
TINS,Timah Tbk.,Basic Materials
TIRA,Tira Austenite Tbk,Industrials
TIRT,Tirta Mahakam Resources Tbk,Basic Materials
TKIM,Pabrik Kertas Tjiwi Kimia Tbk.,Basic Materials
TLDN,Teladan Prima Agro Tbk.,Consumer Non-Cyclicals
TLKM,Telkom Indonesia (Persero) Tbk.,Infrastructure
TMAS,Temas Tbk.,Transportation & Logistics
TMPO,Tempo Intimedia Tbk.,Consumer Cyclicals
TNCA,Trimuda Nuansa Citra Tbk.,Transportation & Logistics
TOBA,TBS Energi Utama Tbk.,Energy
TOOL,Rohartindo Nusantara Luas Tbk.,Consumer Cyclicals
TOPS,Totalindo Eka Persada Tbk.,Infrastructure
TOSK,Topindo Solusi Komunika Tbk.,Technology
TOTL,Total Bangun Persada Tbk.,Infrastructure
TOTO,Surya Toto Indonesia Tbk.,Industrials
TOWR,Sarana Menara Nusantara Tbk.,Infrastructure
TOYS,Sunindo Adipersada Tbk.,Consumer Cyclicals
TPIA,Chandra Asri Pacific Tbk.,Basic Materials
TPMA,Trans Power Marine Tbk.,Energy
TRAM,Trada Alam Minera Tbk.,Energy
TRGU,Cerestar Indonesia Tbk.,Consumer Non-Cyclicals
TRIL,Triwira Insanlestari Tbk.,Industrials
TRIM,Trimegah Sekuritas Indonesia T,Financials
TRIN,Perintis Triniti Properti Tbk.,Properties & Real Estate
TRIO,Trikomsel Oke Tbk.,Consumer Cyclicals
TRIS,Trisula International Tbk.,Consumer Cyclicals
TRJA,Transkon Jaya Tbk.,Transportation & Logistics
TRON,Teknologi Karya Digital Nusa T,Technology
TRST,Trias Sentosa Tbk.,Basic Materials
TRUE,Triniti Dinamik Tbk.,Properties & Real Estate
TRUK,Guna Timur Raya Tbk.,Transportation & Logistics
TRUS,Trust Finance Indonesia Tbk,Financials
TSPC,Tempo Scan Pacific Tbk.,Healthcare
TUGU,Asuransi Tugu Pratama Indonesi,Financials
TYRE,King Tire Indonesia Tbk.,Consumer Cyclicals
UANG,Pakuan Tbk.,Properties & Real Estate
UCID,Uni-Charm Indonesia Tbk.,Consumer Non-Cyclicals
UDNG,Agro Bahari Nusantara Tbk.,Consumer Non-Cyclicals
UFOE,Damai Sejahtera Abadi Tbk.,Consumer Cyclicals
ULTJ,Ultrajaya Milk Industry & Trad,Consumer Non-Cyclicals
UNIC,Unggul Indah Cahaya Tbk.,Basic Materials
UNIQ,Ulima Nitra Tbk.,Energy
UNIT,Nusantara Inti Corpora Tbk,Consumer Cyclicals
UNSP,Bakrie Sumatera Plantations Tbk.,Consumer Non-Cyclicals
UNTD,Terang Dunia Internusa Tbk.,Consumer Cyclicals
UNTR,United Tractors Tbk.,Industrials
UNVR,Unilever Indonesia Tbk.,Consumer Non-Cyclicals
URBN,Urban Jakarta Propertindo Tbk.,Properties & Real Estate
UVCR,Trimegah Karya Pratama Tbk.,Technology
VAST,Vastland Indonesia Tbk.,Properties & Real Estate
VERN,Verona Indah Pictures Tbk.,Consumer Cyclicals
VICI,Victoria Care Indonesia Tbk.,Consumer Non-Cyclicals
VICO,Victoria Investama Tbk.,Financials
VINS,Victoria Insurance Tbk.,Financials
VISI,Satu Visi Putra Tbk.,Industrials
VIVA,Visi Media Asia Tbk.,Consumer Cyclicals
VKTR,VKTR Teknologi Mobilitas Tbk.,Consumer Cyclicals
VOKS,Voksel Electric Tbk.,Industrials
VRNA,Mizuho Leasing Indonesia Tbk.,Financials
VTNY,Venteny Fortuna International,Financials
WAPO,Wahana Pronatural Tbk.,Consumer Non-Cyclicals
WEGE,Wijaya Karya Bangunan Gedung T,Infrastructure
WEHA,WEHA Transportasi Indonesia Tbk.,Transportation & Logistics
WGSH,Wira Global Solusi Tbk.,Technology
WICO,Wicaksana Overseas International Tbk.,Consumer Non-Cyclicals
WIDI,Widiant Jaya Krenindo Tbk.,Industrials
WIFI,Solusi Sinergi Digital Tbk.,Technology
WIIM,Wismilak Inti Makmur Tbk.,Consumer Non-Cyclicals
WIKA,Wijaya Karya (Persero) Tbk.,Infrastructure
WINE,Hatten Bali Tbk.,Consumer Non-Cyclicals
WINR,Winner Nusantara Jaya Tbk.,Properties & Real Estate
WINS,Wintermar Offshore Marine Tbk.,Energy
WIRG,WIR ASIA Tbk.,Technology
WMPP,Widodo Makmur Perkasa Tbk.,Consumer Non-Cyclicals
WMUU,Widodo Makmur Unggas Tbk.,Consumer Non-Cyclicals
WOMF,Wahana Ottomitra Multiartha Tb,Financials
WOOD,Integra Indocabinet Tbk.,Consumer Cyclicals
WOWS,Ginting Jaya Energi Tbk.,Energy
WSBP,Waskita Beton Precast Tbk.,Basic Materials
WSKT,Waskita Karya (Persero) Tbk.,Infrastructure
WTON,Wijaya Karya Beton Tbk.,Basic Materials
YELO,Yelooo Integra Datanet Tbk.,Consumer Cyclicals
YPAS,Yanaprima Hastapersada Tbk,Basic Materials
YULE,Yulie Sekuritas Indonesia Tbk.,Financials
ZATA,Bersama Zatta Jaya Tbk.,Consumer Cyclicals
ZBRA,Dosni Roha Indonesia Tbk.,Industrials
ZINC,Kapuas Prima Coal Tbk.,Basic Materials
ZONE,Mega Perintis Tbk.,Consumer Cyclicals
ZYRX,Zyrexindo Mandiri Buana Tbk.,Technology
